Digital_System_Name_(original_name),Implementation_Integer_bits(i),Implementation_fractional_bits(j),Bit,Realization,Uncertainty_plan,a1_plan,a2_plan,b1_plan,b2_plan,Class
cruise,1,6,7,DFI,0.0,0,0.00068279,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.7,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.76,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.82,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.88,-1.2366,Fail
